----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-25T23:10:08--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 15.78 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-25T23:10:43.4417|INFO|WeatherDataChooserVM.cs|GetEquipment|69|Found 0 Alpaca Observing Conditions
2025-07-25T23:10:43.4455|INFO|DomeChooserVM.cs|GetEquipment|67|Found 0 Alpaca Domes
2025-07-25T23:10:43.4468|INFO|FlatDeviceChooserVM.cs|GetEquipment|67|Found 0 Alpaca Cover Calibrators
2025-07-25T23:10:43.4631|INFO|RotatorChooserVM.cs|GetEquipment|68|Found 0 Alpaca Rotators
2025-07-25T23:10:43.4737|INFO|CameraChooserVM.cs|GetEquipment|290|Found 0 Alpaca Cameras
2025-07-25T23:10:43.4764|INFO|CameraChooserVM.cs|GetEquipment|303|Found 0 Canon Cameras
2025-07-25T23:10:43.4875|INFO|SafetyMonitorChooserVM.cs|GetEquipment|71|Found 0 Alpaca Safety Monitors
2025-07-25T23:11:04.1358|INFO|CameraVM.cs|Disconnect|645|Disconnected Camera
2025-07-25T23:11:04.1397|INFO|QHYCamera.cs|ConnectSync|763|QHYCCD: Connecting to QHY268M-3ebe7243a2f77c422
2025-07-25T23:11:06.3835|INFO|DockManagerVM.cs|InitializeAvalonDockLayout|356|Initializing imaging tab layout from C:\Users\chris\AppData\Local\NINA\Profiles\d3420f3f-ae32-4f74-b8b6-75c9db7ec0d5.dock.config
2025-07-25T23:11:10.0043|INFO|QHYCamera.cs|ConnectSync|1017|QHYCCD: SDK version: 24-3-29-10
2025-07-25T23:11:10.0043|INFO|QHYCamera.cs|ConnectSync|1018|QHYCCD: USB driver version: 24.7.23.0
2025-07-25T23:11:10.0044|INFO|QHYCamera.cs|ConnectSync|1019|QHYCCD: Camera firmware version: 24-4-26
2025-07-25T23:11:10.0044|INFO|QHYCamera.cs|ConnectSync|1020|QHYCCD: Camera FPGA versions: 0: 23-4-4-128
2025-07-25T23:11:10.0518|INFO|CameraVM.cs|ChooseCamera|448|Successfully connected Camera. Id: QHY268M-3ebe7243a2f77c422 Name: QHY268M DisplayName: QHY268M (2f77c422)Driver Version: 
2025-07-25T23:11:10.0555|INFO|FilterWheelVM.cs|Disconnect|324|Disconnected Filter Wheel
2025-07-25T23:11:12.9839|INFO|FilterWheelVM.cs|ChooseFW|272|Successfully connected Filter Wheel. Id: QHY268M-3ebe7243a2f77c422 Name: QHY268M 7-Slot Filter Wheel DisplayName: QHY268M 7-Slot Filter Wheel Driver Version: 1.0
2025-07-25T23:11:12.9933|INFO|TelescopeVM.cs|Disconnect|763|Disconnected mount
2025-07-25T23:11:13.2422|INFO|AscomTelescope.cs|CheckMountTime|817|Mount UTC Time: 2025-07-26 03:11:13Z / System UTC Time: 2025-07-26 03:11:13Z; Difference: 0.242 seconds
2025-07-25T23:11:13.2885|INFO|AscomTelescope.cs|CheckMountTime|824|System time has been synced to the mount
2025-07-25T23:11:13.7833|INFO|TelescopeVM.cs|ChooseTelescope|518|Successfully connected mount. Id: ASCOM.ASIMount.Telescope Name: ASI Mount DisplayName: ASI Mount Driver Version: 6.5.15.0
2025-07-25T23:11:13.7865|INFO|FocuserVM.cs|Disconnect|426|Disconnected Focuser
