"","EVENT_ID","ROLE","start","end","color","mid","dur"
"52",68,"TakeExposure",2025-07-28 23:06:34,2025-07-28 23:09:35,"royalblue",2025-07-28 23:08:04.5,181
"53",69,"SwitchFilter",2025-07-28 23:09:35,2025-07-28 23:09:35,"royalblue",2025-07-28 23:09:35,0
"54",70,"TakeExposure",2025-07-28 23:09:35,2025-07-28 23:12:35,"royalblue",2025-07-28 23:11:05,180
"55",71,"SwitchFilter",2025-07-28 23:12:35,2025-07-28 23:12:35,"royalblue",2025-07-28 23:12:35,0
"56",72,"TakeExposure",2025-07-28 23:12:35,2025-07-28 23:15:36,"royalblue",2025-07-28 23:14:05.5,181
"57",73,"SwitchFilter",2025-07-28 23:15:36,2025-07-28 23:15:36,"royalblue",2025-07-28 23:15:36,0
"58",74,"TakeExposure",2025-07-28 23:15:36,2025-07-28 23:18:37,"royalblue",2025-07-28 23:17:06.5,181
"59",75,"SwitchFilter",2025-07-28 23:18:37,2025-07-28 23:18:37,"royalblue",2025-07-28 23:18:37,0
"60",76,"TakeExposure",2025-07-28 23:18:37,2025-07-28 23:21:37,"royalblue",2025-07-28 23:20:07,180
"61",77,"SwitchFilter",2025-07-28 23:21:37,2025-07-28 23:21:37,"royalblue",2025-07-28 23:21:37,0
"62",78,"TakeExposure",2025-07-28 23:21:37,2025-07-28 23:24:38,"royalblue",2025-07-28 23:23:07.5,181
"63",79,"SwitchFilter",2025-07-28 23:24:38,2025-07-28 23:24:38,"royalblue",2025-07-28 23:24:38,0
"64",80,"TakeExposure",2025-07-28 23:24:38,2025-07-28 23:27:38,"royalblue",2025-07-28 23:26:08,180
"65",81,"SwitchFilter",2025-07-28 23:27:38,2025-07-28 23:27:38,"royalblue",2025-07-28 23:27:38,0
"66",82,"TakeExposure",2025-07-28 23:27:38,2025-07-28 23:30:39,"royalblue",2025-07-28 23:29:08.5,181
"67",83,"SwitchFilter",2025-07-28 23:30:39,2025-07-28 23:30:39,"royalblue",2025-07-28 23:30:39,0
"68",84,"TakeExposure",2025-07-28 23:30:39,2025-07-28 23:33:39,"royalblue",2025-07-28 23:32:09,180
"69",85,"SwitchFilter",2025-07-28 23:33:40,2025-07-28 23:33:40,"royalblue",2025-07-28 23:33:40,0
"70",86,"TakeExposure",2025-07-28 23:33:40,2025-07-28 23:36:40,"royalblue",2025-07-28 23:35:10,180
"71",87,"Dither",2025-07-28 23:36:40,2025-07-28 23:36:52,"royalblue",2025-07-28 23:36:46,12
"72",89,"SwitchFilter",2025-07-28 23:36:52,2025-07-28 23:36:52,"royalblue",2025-07-28 23:36:52,0
"73",90,"TakeExposure",2025-07-28 23:36:52,2025-07-28 23:39:52,"royalblue",2025-07-28 23:38:22,180
"74",91,"SwitchFilter",2025-07-28 23:39:52,2025-07-28 23:39:52,"royalblue",2025-07-28 23:39:52,0
"75",92,"TakeExposure",2025-07-28 23:39:52,2025-07-28 23:42:53,"royalblue",2025-07-28 23:41:22.5,181
"76",93,"SwitchFilter",2025-07-28 23:42:53,2025-07-28 23:42:53,"royalblue",2025-07-28 23:42:53,0
"77",94,"TakeExposure",2025-07-28 23:42:53,2025-07-28 23:45:53,"royalblue",2025-07-28 23:44:23,180
"78",95,"SwitchFilter",2025-07-28 23:45:54,2025-07-28 23:45:54,"royalblue",2025-07-28 23:45:54,0
"79",96,"TakeExposure",2025-07-28 23:45:54,2025-07-28 23:48:54,"royalblue",2025-07-28 23:47:24,180
"80",97,"SwitchFilter",2025-07-28 23:48:54,2025-07-28 23:48:54,"royalblue",2025-07-28 23:48:54,0
"81",98,"TakeExposure",2025-07-28 23:48:54,2025-07-28 23:51:55,"royalblue",2025-07-28 23:50:24.5,181
"82",99,"SwitchFilter",2025-07-28 23:51:55,2025-07-28 23:51:55,"royalblue",2025-07-28 23:51:55,0
"83",100,"TakeExposure",2025-07-28 23:51:55,2025-07-28 23:54:55,"royalblue",2025-07-28 23:53:25,180
"84",101,"SwitchFilter",2025-07-28 23:54:55,2025-07-28 23:54:55,"royalblue",2025-07-28 23:54:55,0
"85",102,"TakeExposure",2025-07-28 23:54:55,2025-07-28 23:57:56,"royalblue",2025-07-28 23:56:25.5,181
"86",103,"SwitchFilter",2025-07-28 23:57:56,2025-07-28 23:57:56,"royalblue",2025-07-28 23:57:56,0
"87",104,"TakeExposure",2025-07-28 23:57:56,2025-07-29 00:00:56,"royalblue",2025-07-28 23:59:26,180
"88",105,"SwitchFilter",2025-07-29 00:00:56,2025-07-29 00:00:56,"royalblue",2025-07-29 00:00:56,0
"89",106,"TakeExposure",2025-07-29 00:00:56,2025-07-29 00:03:57,"royalblue",2025-07-29 00:02:26.5,181
"90",107,"SwitchFilter",2025-07-29 00:03:57,2025-07-29 00:03:57,"royalblue",2025-07-29 00:03:57,0
"91",108,"TakeExposure",2025-07-29 00:03:57,2025-07-29 00:06:58,"royalblue",2025-07-29 00:05:27.5,181
"92",109,"SwitchFilter",2025-07-29 00:06:58,2025-07-29 00:06:58,"royalblue",2025-07-29 00:06:58,0
"93",110,"TakeExposure",2025-07-29 00:06:58,2025-07-29 00:09:58,"royalblue",2025-07-29 00:08:28,180
"94",111,"SwitchFilter",2025-07-29 00:09:58,2025-07-29 00:09:58,"royalblue",2025-07-29 00:09:58,0
"95",112,"TakeExposure",2025-07-29 00:09:58,2025-07-29 00:12:59,"royalblue",2025-07-29 00:11:28.5,181
"96",113,"SwitchFilter",2025-07-29 00:12:59,2025-07-29 00:12:59,"royalblue",2025-07-29 00:12:59,0
"97",114,"TakeExposure",2025-07-29 00:12:59,2025-07-29 00:15:59,"royalblue",2025-07-29 00:14:29,180
"98",115,"SwitchFilter",2025-07-29 00:15:59,2025-07-29 00:15:59,"royalblue",2025-07-29 00:15:59,0
"99",116,"TakeExposure",2025-07-29 00:15:59,2025-07-29 00:19:00,"royalblue",2025-07-29 00:17:29.5,181
"100",117,"SwitchFilter",2025-07-29 00:19:00,2025-07-29 00:19:00,"royalblue",2025-07-29 00:19:00,0
"101",118,"TakeExposure",2025-07-29 00:19:00,2025-07-29 00:22:01,"royalblue",2025-07-29 00:20:30.5,181
"102",119,"SwitchFilter",2025-07-29 00:22:01,2025-07-29 00:22:01,"royalblue",2025-07-29 00:22:01,0
"103",120,"TakeExposure",2025-07-29 00:22:01,2025-07-29 00:25:01,"royalblue",2025-07-29 00:23:31,180
"104",121,"SwitchFilter",2025-07-29 00:25:01,2025-07-29 00:25:01,"royalblue",2025-07-29 00:25:01,0
"105",122,"TakeExposure",2025-07-29 00:25:01,2025-07-29 00:28:02,"royalblue",2025-07-29 00:26:31.5,181
"106",123,"SwitchFilter",2025-07-29 00:28:02,2025-07-29 00:28:02,"royalblue",2025-07-29 00:28:02,0
"107",124,"TakeExposure",2025-07-29 00:28:02,2025-07-29 00:31:02,"royalblue",2025-07-29 00:29:32,180
"108",125,"SwitchFilter",2025-07-29 00:31:02,2025-07-29 00:31:02,"royalblue",2025-07-29 00:31:02,0
"109",126,"TakeExposure",2025-07-29 00:31:02,2025-07-29 00:34:03,"royalblue",2025-07-29 00:32:32.5,181
"110",127,"SwitchFilter",2025-07-29 00:34:03,2025-07-29 00:34:03,"royalblue",2025-07-29 00:34:03,0
"111",128,"TakeExposure",2025-07-29 00:34:03,2025-07-29 00:37:03,"royalblue",2025-07-29 00:35:33,180
"112",129,"SwitchFilter",2025-07-29 00:37:03,2025-07-29 00:37:03,"royalblue",2025-07-29 00:37:03,0
"113",130,"TakeExposure",2025-07-29 00:37:03,2025-07-29 00:40:04,"royalblue",2025-07-29 00:38:33.5,181
"114",131,"SwitchFilter",2025-07-29 00:40:04,2025-07-29 00:40:04,"royalblue",2025-07-29 00:40:04,0
"115",132,"TakeExposure",2025-07-29 00:40:04,2025-07-29 00:43:05,"royalblue",2025-07-29 00:41:34.5,181
"116",133,"SwitchFilter",2025-07-29 00:43:05,2025-07-29 00:43:05,"royalblue",2025-07-29 00:43:05,0
"117",134,"TakeExposure",2025-07-29 00:43:05,2025-07-29 00:46:05,"royalblue",2025-07-29 00:44:35,180
"118",135,"SwitchFilter",2025-07-29 00:46:05,2025-07-29 00:46:05,"royalblue",2025-07-29 00:46:05,0
"119",136,"TakeExposure",2025-07-29 00:46:05,2025-07-29 00:49:06,"royalblue",2025-07-29 00:47:35.5,181
"120",137,"SwitchFilter",2025-07-29 00:49:06,2025-07-29 00:49:06,"royalblue",2025-07-29 00:49:06,0
"121",138,"TakeExposure",2025-07-29 00:49:06,2025-07-29 00:52:06,"royalblue",2025-07-29 00:50:36,180
"122",139,"SwitchFilter",2025-07-29 00:52:06,2025-07-29 00:52:06,"royalblue",2025-07-29 00:52:06,0
"123",141,"RunAutofocus",2025-07-29 00:52:06,2025-07-29 00:54:18,"royalblue",2025-07-29 00:53:12,132
"124",142,"TakeExposure",2025-07-29 00:54:18,2025-07-29 00:57:19,"royalblue",2025-07-29 00:55:48.5,181
"125",143,"SwitchFilter",2025-07-29 00:57:19,2025-07-29 00:57:19,"royalblue",2025-07-29 00:57:19,0
