ExposureNumber,FilePath,FilterName,ExposureStart,Duration,Binning,CameraTemp,CameraTargetTemp,Gain,Offset,ADUStDev,ADUMean,ADUMedian,ADUMin,ADUMax,DetectedStars,HFR,HFRStDev,FWHM,Eccentricity,GuidingRMS,GuidingRMSArcSec,GuidingRMSRA,GuidingRMSRAArcSec,GuidingRMSDEC,GuidingRMSDECArcSec,FocuserPosition,FocuserTemp,RotatorPosition,PierSide,Airmass,ExposureStartUTC,MountRA,MountDec,ImageType
60,NA,R,2025-12-21T00:52:00Z,30,1x1,-19.8,-20,100,50,119.664,525.0628,523,302,65535,704,2.56,0.2869,3.868001043362948,0.4467336817886371,0.8439,0.6856,0.7221,0.5867,0.4366,0.3548,17530,50,90.0557,West,1.4135,2025-12-21T05:52:30Z,143.67297947378842,69.57127097874441,LIGHT
60,NA,G,2025-12-21T00:55:00Z,30,1x1,-19.9,-20,100,50,96.4904,521.683,520,326,65535,598,2.7267,0.2901,4.081384366138659,0.43115154785916665,0.9041,0.7345,0.6212,0.5047,0.6568,0.5337,17515,50,90.0557,West,1.4077,2025-12-21T05:55:30Z,143.6771689939325,69.57127753720262,LIGHT
60,NA,B,2025-12-21T00:58:00Z,30,1x1,-19.8,-20,100,50,98.2213,520.0955,518,318,65535,618,2.6775,0.306,4.114323809215032,0.4470086051663738,1.1636,0.9454,1.0554,0.8575,0.4899,0.398,17527,50,90.0557,West,1.4024,2025-12-21T05:58:18Z,143.68135856401727,69.57128409706712,LIGHT
59,NA,L,2025-12-20T22:30:00Z,60,1x1,-20,-20,100,50,327.0184,671.6564,665,461,65535,889,2.4048,0.246,3.6757560037196777,0.4686458212251658,0.5785,0.47,0.4824,0.3919,0.3193,0.2594,17572,50,90.0557,West,1.9377,2025-12-21T03:30:31Z,148.86868027243673,69.31198345849296,LIGHT
59,NA,R,2025-12-21T00:35:00Z,30,1x1,-20,-20,100,50,118.0201,526.0495,524,348,65535,677,2.5756,0.292,3.904489974283873,0.42663114169682903,0.8271,0.672,0.6705,0.5448,0.4843,0.3935,17530,50,90.0557,West,1.449,2025-12-21T05:35:11Z,143.64784220889513,69.57123160746582,LIGHT
59,NA,G,2025-12-21T00:38:00Z,30,1x1,-20,-20,100,50,85.5374,522.5044,521,330,63820,555,3.0273,0.3458,4.845489890121224,0.398523549921544,1.1297,0.9179,0.8371,0.6801,0.7586,0.6164,17515,50,90.0557,West,1.4426,2025-12-21T05:38:11Z,143.65203172135733,69.571238169742,LIGHT
59,NA,B,2025-12-21T00:41:00Z,30,1x1,-20,-20,100,50,84.1595,520.7283,519,364,62157,557,2.9869,0.3259,4.70145778474099,0.3905083355634634,1.1179,0.9083,0.6919,0.5622,0.8781,0.7134,17527,50,90.0557,West,1.4367,2025-12-21T05:41:01Z,143.65622128387076,69.57124473342532,LIGHT
58,NA,L,2025-12-20T22:29:00Z,60,1x1,-20,-20,100,50,325.4945,671.8433,665,475,65535,866,2.4429,0.2617,3.751441310689835,0.460946727850124,0.7913,0.6429,0.6606,0.5367,0.4357,0.354,17572,50,90.0557,West,1.9427,2025-12-21T03:29:31Z,148.8644891048755,69.3119776925095,LIGHT
58,NA,R,2025-12-21T00:34:00Z,30,1x1,-20,-20,100,50,117.5719,526.1211,524,336,65535,671,2.623,0.2887,3.907779951724482,0.4732839337778882,0.9706,0.7886,0.5772,0.4689,0.7803,0.634,17530,50,90.0557,West,1.4502,2025-12-21T05:34:41Z,143.6478423388257,69.57123161290657,LIGHT
58,NA,G,2025-12-21T00:37:00Z,30,1x1,-20,-20,100,50,89.7642,522.525,521,323,65535,572,2.8689,0.3209,4.460281370989683,0.4248963747870953,0.9703,0.7884,0.7107,0.5774,0.6606,0.5367,17515,50,90.0557,West,1.4441,2025-12-21T05:37:29Z,143.65203189199866,69.57123817688986,LIGHT
58,NA,B,2025-12-21T00:40:00Z,30,1x1,-20,-20,100,50,88.1132,520.7185,519,337,65315,568,2.9177,0.3169,4.554300861232214,0.36446097842862024,1.1607,0.9431,0.647,0.5257,0.9637,0.783,17527,50,90.0557,West,1.4377,2025-12-21T05:40:30Z,143.65622140572825,69.57124473853142,LIGHT
57,NA,L,2025-12-20T22:28:00Z,60,1x1,-20,-20,100,50,324.6992,672.3339,666,463,65535,883,2.4879,0.2857,3.858636603236053,0.4590260917529147,0.5946,0.4831,0.4782,0.3885,0.3534,0.2871,17572,50,90.0557,West,1.9475,2025-12-21T03:28:30Z,148.86448935119628,69.31197769617758,LIGHT
57,NA,R,2025-12-21T00:34:00Z,30,1x1,-20,-20,100,50,120.4622,526.1472,524,284,65535,691,2.5067,0.27,3.707786975362931,0.46908179635618585,0.8737,0.7099,0.6482,0.5266,0.5858,0.476,17530,50,90.0557,West,1.4516,2025-12-21T05:34:03Z,143.64365225075687,69.57122502583758,LIGHT
57,NA,G,2025-12-21T00:36:00Z,30,1x1,-20,-20,100,50,87.177,522.5498,521,353,64342,552,2.9668,0.3183,4.667074079220349,0.5615634552104806,1.371,1.1139,0.8917,0.7245,1.0414,0.8461,17515,50,90.0557,West,1.4452,2025-12-21T05:36:59Z,143.64784177810355,69.5712315894209,LIGHT
57,NA,B,2025-12-21T00:40:00Z,30,1x1,-20,-20,100,50,75.5566,520.7017,519,318,50580,534,3.2629,0.3931,5.356285494843091,0.4023872362017683,2.02,1.6412,1.5424,1.2532,1.3043,1.0597,17527,50,90.0557,West,1.4388,2025-12-21T05:40:00Z,143.6520312825966,69.57123815135658,LIGHT
56,NA,L,2025-12-20T22:27:00Z,60,1x1,-20,-20,100,50,328.519,673.2994,667,480,65535,893,2.3909,0.2558,3.652631554028447,0.46356852401584175,0.4702,0.382,0.3906,0.3173,0.2618,0.2127,17572,50,90.0557,West,1.9534,2025-12-21T03:27:18Z,148.86029822581943,69.3119719301342,LIGHT
56,NA,R,2025-12-21T00:33:00Z,30,1x1,-20,-20,100,50,119.3093,526.1621,524,333,65535,697,2.5307,0.2981,3.7986918886614545,0.4438663319322646,0.8921,0.7248,0.5592,0.4544,0.695,0.5647,17530,50,90.0557,West,1.4527,2025-12-21T05:33:32Z,143.64365237269445,69.57122503094443,LIGHT
56,NA,G,2025-12-21T00:36:00Z,30,1x1,-20,-20,100,50,92.0109,522.5356,521,325,65535,575,2.8401,0.2971,4.407196331856828,0.49667085103197367,1.0564,0.8583,0.6532,0.5307,0.8303,0.6746,17515,50,90.0557,West,1.4463,2025-12-21T05:36:28Z,143.64784190011346,69.57123159453255,LIGHT
56,NA,B,2025-12-21T00:39:00Z,30,1x1,-20,-20,100,50,73.1032,520.7617,519,353,44849,523,3.2844,0.3943,5.493618214573366,0.3667479715782068,1.6588,1.3478,1.1052,0.8979,1.2371,1.0051,17527,50,90.0557,West,1.4403,2025-12-21T05:39:17Z,143.6520314531208,69.57123815850318,LIGHT
55,NA,L,2025-12-20T22:26:00Z,60,1x1,-20,-20,100,50,329.1052,673.8025,667,445,65535,883,2.3788,0.2515,3.609550840689961,0.4726444574548012,0.5244,0.4261,0.4016,0.3263,0.3373,0.2741,17572,50,90.0557,West,1.9583,2025-12-21T03:26:18Z,148.86029847222764,69.31197193380251,LIGHT
55,NA,R,2025-12-21T00:33:00Z,30,1x1,-20,-20,100,50,122.3423,526.1112,524,322,65535,688,2.4427,0.2581,3.5490290849435717,0.41383703367426616,0.6868,0.558,0.449,0.3648,0.5197,0.4223,17530,50,90.0557,West,1.4538,2025-12-21T05:33:02Z,143.64365249454275,69.57122503604684,LIGHT
55,NA,G,2025-12-21T00:35:00Z,30,1x1,-20.1,-20,100,50,94.0938,522.5449,521,352,65535,586,2.7664,0.306,4.259495391776319,0.4403976428220178,0.9867,0.8017,0.5884,0.4781,0.792,0.6435,17515,50,90.0557,West,1.4478,2025-12-21T05:35:46Z,143.64784207074274,69.57123160167991,LIGHT
55,NA,B,2025-12-21T00:38:00Z,30,1x1,-20,-20,100,50,82.655,520.7949,519,333,55679,555,3.0623,0.3381,4.964531270391678,0.4256330253575251,1.2665,1.0291,0.8465,0.6878,0.9421,0.7654,17527,50,90.0557,West,1.4414,2025-12-21T05:38:46Z,143.65203158329052,69.57123816395759,LIGHT
54,NA,L,2025-12-20T22:25:00Z,60,1x1,-20,-20,100,50,328.2511,674.4965,668,485,65535,886,2.3784,0.256,3.612328641326597,0.48579024304402646,0.5709,0.4639,0.3939,0.3201,0.4133,0.3358,17572,50,90.0557,West,1.9632,2025-12-21T03:25:17Z,148.86029871854393,69.31197193746674,LIGHT
54,NA,R,2025-12-21T00:15:00Z,30,1x1,-19.8,-20,100,50,111.0607,526.2959,524,348,65535,649,2.8601,0.3142,4.569163284465361,0.5256185094365118,1.5934,1.2946,1.0705,0.8698,1.1802,0.9589,17530,50,90.0557,West,1.4939,2025-12-21T05:15:40Z,143.61851529956942,69.5711856387544,LIGHT
54,NA,G,2025-12-21T00:18:00Z,30,1x1,-19.9,-20,100,50,91.2725,523.7059,522,323,65535,557,2.8232,0.3012,4.249118674761585,0.3959314479693925,0.9379,0.7621,0.7356,0.5977,0.5819,0.4728,17515,50,90.0557,West,1.4871,2025-12-21T05:18:31Z,143.62270484371874,69.57119220718002,LIGHT
54,NA,B,2025-12-21T00:21:00Z,30,1x1,-20,-20,100,50,103.9672,521.4896,520,333,65535,619,2.4429,0.2388,3.5518556471344964,0.48958499672809,0.8774,0.7128,0.7427,0.6034,0.4671,0.3795,17527,50,90.0557,West,1.4799,2025-12-21T05:21:31Z,143.62689434045114,69.57119877293403,LIGHT
53,NA,L,2025-12-20T22:24:00Z,60,1x1,-20,-20,100,50,328.1344,674.761,668,478,65535,880,2.4047,0.2635,3.6566394848619344,0.5329717556515885,0.7019,0.5703,0.5072,0.4121,0.4853,0.3943,17572,50,90.0557,West,1.9689,2025-12-21T03:24:07Z,148.85610758609704,69.3119661706319,LIGHT
53,NA,R,2025-12-21T00:15:00Z,30,1x1,-19.8,-20,100,50,114.0396,526.3452,524,336,65535,668,2.6726,0.2974,4.095823470881646,0.4494294807044196,1.1067,0.8992,0.5933,0.4821,0.9342,0.759,17530,50,90.0557,West,1.4956,2025-12-21T05:15:00Z,143.6185154619508,69.5711856455396,LIGHT
53,NA,G,2025-12-21T00:18:00Z,30,1x1,-19.9,-20,100,50,96.8135,523.6264,522,352,65535,592,2.6416,0.2758,4.008996256120016,0.4250973241738511,1.0018,0.8139,0.7342,0.5965,0.6816,0.5538,17515,50,90.0557,West,1.4883,2025-12-21T05:18:00Z,143.62270496559927,69.57119221227457,LIGHT
53,NA,B,2025-12-21T00:21:00Z,30,1x1,-20.1,-20,100,50,103.2013,521.5392,520,344,65535,639,2.4795,0.2657,3.6719767933122274,0.4683739163955587,0.8281,0.6728,0.6432,0.5226,0.5216,0.4238,17527,50,90.0557,West,1.4811,2025-12-21T05:21:01Z,143.62689447037312,69.57119877836669,LIGHT
52,NA,L,2025-12-20T22:23:00Z,60,1x1,-20,-20,100,50,325.11130000000003,675.1585,668,468,65535,857,2.4997,0.2802,3.8737187475653903,0.47021014620454993,0.8123,0.66,0.5501,0.447,0.5977,0.4856,17572,50,90.0557,West,1.9741,2025-12-21T03:23:07Z,148.85610784071324,69.31196617441854,LIGHT
52,NA,R,2025-12-21T00:14:00Z,30,1x1,-19.9,-20,100,50,117.7987,526.2922,524,342,65535,699,2.5166,0.2873,3.771956642156298,0.4094539422299376,0.8058,0.6547,0.5761,0.4681,0.5635,0.4578,17530,50,90.0557,West,1.4968,2025-12-21T05:14:29Z,143.61851558385243,69.5711856506325,LIGHT
52,NA,G,2025-12-21T00:17:00Z,30,1x1,-19.8,-20,100,50,98.4638,523.6054,522,339,65535,599,2.589,0.2722,3.860448787968208,0.42167293526953387,1.1964,0.9721,1.0794,0.877,0.516,0.4193,17515,50,90.0557,West,1.4895,2025-12-21T05:17:30Z,143.62270508736614,69.57119221736366,LIGHT
52,NA,B,2025-12-21T00:20:00Z,30,1x1,-20,-20,100,50,99.0774,521.5647,520,358,65535,578,2.7832,0.317,4.271835262078368,0.4193873429093587,1.0956,0.8902,0.8258,0.6709,0.7201,0.5851,17527,50,90.0557,West,1.4828,2025-12-21T05:20:18Z,143.62689464083738,69.57119878549338,LIGHT
51,NA,L,2025-12-20T22:22:00Z,60,1x1,-20,-20,100,50,325.949,675.2684,668,466,65535,872,2.4724,0.2757,3.8024765153509783,0.47462733903589055,0.8339,0.6776,0.6993,0.5682,0.4543,0.3691,17572,50,90.0557,West,1.9791,2025-12-21T03:22:06Z,148.85610808682804,69.31196617807598,LIGHT
51,NA,R,2025-12-21T00:13:00Z,30,1x1,-20,-20,100,50,113.9939,526.3097,524,344,65535,665,2.7383,0.292,4.2687366880182465,0.4863374866746916,1.349,1.0961,0.8998,0.7311,1.005,0.8166,17530,50,90.0557,West,1.4981,2025-12-21T05:13:59Z,143.61851571360432,69.57118565605258,LIGHT
