ExposureNumber,FilePath,FilterName,ExposureStart,Duration,Binning,CameraTemp,CameraTargetTemp,Gain,Offset,ADUStDev,ADUMean,ADUMedian,ADUMin,ADUMax,DetectedStars,HFR,HFRStDev,FWHM,Eccentricity,GuidingRMS,GuidingRMSArcSec,GuidingRMSRA,GuidingRMSRAArcSec,GuidingRMSDEC,GuidingRMSDECArcSec,FocuserPosition,FocuserTemp,RotatorPosition,PierSide,Airmass,ExposureStartUTC,MountRA,MountDec,ImageType
10,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0010.fits,H,2026-03-15T00:34:00Z,120,1x1,-15,-15,100,50,17.2436,504.0474,504,310,35209,227,2.9661,0.3241,4.672954628414236,0.4257625758810437,1.6315,1.414,1.2397,1.0744,1.0606,0.9192,20993,5.5,270.1491,East,1.2313,2026-03-15T04:34:34Z,148.9074619223362,69.32122622228525,LIGHT
11,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0011.fits,H,2026-03-15T00:36:00Z,120,1x1,-15,-15,100,50,18.032,504.0531,504,356,34703,226,2.9933,0.3152,4.810545985094004,0.5042414432948179,1.8197,1.577,1.088,0.943,1.4586,1.2641,20993,5.5,270.1491,East,1.2319,2026-03-15T04:36:34Z,148.90327177654865,69.32122015252659,LIGHT
12,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0012.fits,H,2026-03-15T00:38:00Z,120,1x1,-14.9,-15,100,50,16.7505,504.0457,504,330,34942,202,3.2195,0.3659,5.294809364289536,0.5186341824532437,2.4423,2.1167,1.6688,1.4463,1.7833,1.5455,20993,5.5,270.1491,East,1.2325,2026-03-15T04:38:35Z,148.90327182821994,69.32122004523517,LIGHT
13,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0013.fits,H,2026-03-15T00:40:00Z,120,1x1,-14.9,-15,100,50,17.097,504.05,504,302,35091,225,3.0958,0.3806,4.951073457621962,0.46970738074629126,2.2848,1.9802,1.548,1.3416,1.6805,1.4564,20993,5.5,270.1491,East,1.2331,2026-03-15T04:40:35Z,148.90327188082316,69.32121993607495,LIGHT
14,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0014.fits,H,2026-03-15T00:42:00Z,120,1x1,-15,-15,100,50,19.2846,504.0484,504,302,35511,250,2.6697,0.2654,4.175142088061546,0.4279161818786808,1.3702,1.1875,0.9733,0.8435,0.9644,0.8358,20993,5.5,270.1491,East,1.2338,2026-03-15T04:42:36Z,148.89908173639233,69.32121386568794,LIGHT
15,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0015.fits,H,2026-03-15T00:44:00Z,120,1x1,-15,-15,100,50,19.8726,504.0638,504,332,34801,250,2.7418,0.3044,4.219014965783208,0.41819028465994434,1.6052,1.3912,1.0354,0.8973,1.2266,1.0631,20993,5.5,270.1491,East,1.2345,2026-03-15T04:44:36Z,148.89908178823288,69.32121375829334,LIGHT
16,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0016.fits,H,2026-03-15T00:46:00Z,120,1x1,-14.8,-15,100,50,17.5091,504.0581,504,329,34971,216,3.0699,0.3422,4.862553782025958,0.4245220344356098,1.9913,1.7258,1.292,1.1197,1.5152,1.3132,20993,5.51,270.1491,East,1.2353,2026-03-15T04:46:37Z,148.89489164513614,69.32120768720642,LIGHT
17,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0017.fits,H,2026-03-15T00:48:00Z,120,1x1,-15,-15,100,50,19.1638,504.0666,504,330,35551,256,2.6746,0.2883,4.161030347237425,0.3715402122115735,1.2878,1.1161,0.8419,0.7296,0.9746,0.8446,20993,5.595,270.1491,East,1.2361,2026-03-15T04:48:38Z,148.89489169791466,69.32120757805446,LIGHT
18,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0018.fits,H,2026-03-15T00:50:00Z,120,1x1,-14.9,-15,100,50,18.6775,504.0685,504,313,35006,253,2.7388,0.3049,4.246465366716835,0.4327443944206288,1.6858,1.461,1.0479,0.9082,1.3206,1.1445,20993,5.745,270.1491,East,1.2369,2026-03-15T04:50:38Z,148.8948885794166,69.32148523229576,LIGHT
19,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0019.fits,H,2026-03-15T00:52:00Z,120,1x1,-14.8,-15,100,50,18.5469,504.059,504,315,35370,253,2.737,0.3492,4.208479324322506,0.4259557192196757,1.7298,1.4992,1.1364,0.9849,1.3042,1.1303,20993,5.965,270.1491,East,1.2377,2026-03-15T04:52:39Z,148.89069843737158,69.32147916049962,LIGHT
20,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0020.fits,H,2026-03-15T00:54:00Z,120,1x1,-15,-15,100,50,18.7431,504.0758,504,311,35438,258,2.7047,0.3129,4.332084856516209,0.4332969540076001,1.3961,1.21,0.8752,0.7585,1.0877,0.9427,20993,6.06,270.1491,East,1.2387,2026-03-15T04:54:45Z,148.89069849286736,69.32147904599644,LIGHT
21,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0021.fits,H,2026-03-15T00:56:00Z,120,1x1,-14.9,-15,100,50,19.131,504.0717,504,323,35358,266,2.5933,0.2934,4.043964440180219,0.3988300263925474,1.0933,0.9475,0.704,0.6101,0.8365,0.725,20993,6.24,270.1491,East,1.2396,2026-03-15T04:56:46Z,148.88650835215856,69.32147297350535,LIGHT
22,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0022.fits,H,2026-03-15T00:58:00Z,120,1x1,-15,-15,100,50,19.1067,504.0754,504,330,35188,257,2.7341,0.2918,4.281230949829555,0.4382978426663261,1.3415,1.1626,0.8343,0.7231,1.0505,0.9104,20993,6.315,270.1491,East,1.2406,2026-03-15T04:58:46Z,148.88650840429577,69.32147286611594,LIGHT
23,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0023.fits,H,2026-03-15T01:00:00Z,120,1x1,-15,-15,100,50,19.083,504.0849,504,331,35002,262,2.718,0.2843,4.306745076871885,0.4387199325371195,1.4047,1.2174,0.8765,0.7596,1.0976,0.9513,20993,6.285,270.1491,East,1.2416,2026-03-15T05:00:47Z,148.88650845646444,69.32147275872637,LIGHT
24,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0024.fits,H,2026-03-15T01:02:00Z,120,1x1,-14.9,-15,100,50,19.1383,504.0745,504,342,35606,265,2.6437,0.2883,4.178674887427173,0.40824542765714394,1.5267,1.3231,1.0193,0.8834,1.1366,0.985,20993,6.305,270.1491,East,1.2426,2026-03-15T05:02:48Z,148.8823183180015,69.32146668378005,LIGHT
25,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0025.fits,H,2026-03-15T01:04:00Z,120,1x1,-14.9,-15,100,50,19.0467,504.0878,504,330,35609,256,2.6889,0.3013,4.174192190229919,0.4489464803794391,1.4271,1.2368,1.0071,0.8728,1.0112,0.8763,20993,6.455,270.1491,East,1.2437,2026-03-15T05:04:48Z,148.88231837028437,69.3214665763384,LIGHT
26,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0026.fits,H,2026-03-15T01:06:00Z,120,1x1,-15,-15,100,50,19.4719,504.0913,504,308,35357,251,2.6195,0.2932,3.908775306097045,0.421149946821369,1.7757,1.5389,1.3003,1.1269,1.2093,1.048,20993,6.5,270.1491,East,1.2448,2026-03-15T05:06:49Z,148.87812823224323,69.32146050257225,LIGHT
27,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0027.fits,H,2026-03-15T01:08:00Z,120,1x1,-15,-15,100,50,18.6059,504.0856,504,318,34786,252,2.8334,0.3537,4.475344680559691,0.5897230357166051,2.0407,1.7686,1.2602,1.0921,1.6052,1.3911,20993,6.5,270.1491,East,1.246,2026-03-15T05:08:50Z,148.87812828550608,69.32146039330213,LIGHT
28,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0028.fits,H,2026-03-15T01:10:00Z,120,1x1,-15.1,-15,100,50,21.0362,504.0862,504,341,35015,259,2.5001,0.251,3.7415641826058894,0.4490996709795857,1.2429,1.0772,0.7116,0.6167,1.019,0.8831,20993,6.5,270.1491,East,1.2471,2026-03-15T05:10:50Z,148.87812833790565,69.32146028586834,LIGHT
29,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0029.fits,H,2026-03-15T01:12:00Z,120,1x1,-15,-15,100,50,21.1374,504.0807,504,331,34747,269,2.3924,0.236,3.5449976924427187,0.4231381093614091,1.0664,0.9242,0.5888,0.5103,0.8891,0.7705,20993,6.5,270.1491,East,1.2483,2026-03-15T05:12:51Z,148.87393820124666,69.32145421142582,LIGHT
0,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0000.fits,L,2026-03-15T01:15:00Z,30,1x1,-15,-15,0,50,101.1856,519.4651,518,395,65535,798,2.5339,0.3083,3.873625646650959,0.39266530572867914,1.0185,0.8827,0.6174,0.5351,0.8099,0.702,20991,6.5,270.1491,East,1.2488,2026-03-15T05:15:02Z,148.8739382196436,69.32145417376313,LIGHT
1,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0001.fits,L,2026-03-15T01:15:00Z,30,1x1,-15,-15,0,50,100.322,519.519,518,377,65535,797,2.5666,0.2909,3.987355316080217,0.4930474829090561,1.2333,1.0688,0.8366,0.725,0.9062,0.7854,20991,6.5,270.1491,East,1.2491,2026-03-15T05:15:33Z,148.87393823273928,69.32145414695825,LIGHT
2,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0002.fits,L,2026-03-15T01:16:00Z,30,1x1,-15,-15,0,50,108.6195,519.4429,518,392,65535,825,2.338,0.2497,3.509821854271517,0.5191581586906022,1.0483,0.9085,0.569,0.4931,0.8804,0.7631,20991,6.5,270.1491,East,1.2494,2026-03-15T05:16:03Z,148.8739382467344,69.32145411831671,LIGHT
3,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0003.fits,L,2026-03-15T01:16:00Z,30,1x1,-14.9,-15,0,50,110.7381,519.4414,518,390,65535,847,2.2606,0.26,3.364185165643393,0.5208759292945708,0.8169,0.708,0.4998,0.4332,0.6462,0.56,20991,6.5,270.1491,East,1.2497,2026-03-15T05:16:34Z,148.8739382598859,69.32145409140587,LIGHT
4,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0004.fits,L,2026-03-15T01:17:00Z,30,1x1,-15,-15,0,50,100.473,519.368,518,385,65535,782,2.6507,0.2896,4.148676925875669,0.5628010285582141,1.5226,1.3196,1.0399,0.9012,1.1122,0.9639,20991,6.5,270.1491,East,1.2501,2026-03-15T05:17:05Z,148.8739382730353,69.32145406450343,LIGHT
5,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0005.fits,L,2026-03-15T01:17:00Z,30,1x1,-14.8,-15,0,50,105.1384,519.347,518,393,65535,815,2.4656,0.2683,3.782460975310518,0.502861896079055,1.1894,1.0308,0.7017,0.6081,0.9604,0.8323,20991,6.5,270.1491,East,1.2504,2026-03-15T05:17:35Z,148.87393828613614,69.32145403770433,LIGHT
6,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0006.fits,L,2026-03-15T01:18:00Z,30,1x1,-14.9,-15,0,50,105.1592,519.3075,518,392,65535,813,2.456,0.2653,3.728678613314037,0.4133288587267192,1.0122,0.8772,0.5406,0.4685,0.8557,0.7416,20991,6.5,270.1491,East,1.2507,2026-03-15T05:18:06Z,148.8739383001581,69.3214540090254,LIGHT
7,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0007.fits,L,2026-03-15T01:18:00Z,30,1x1,-15,-15,0,50,105.9672,519.3247,518,397,65535,809,2.3948,0.273,3.6051054072546327,0.4427438560917043,0.8988,0.779,0.3714,0.3219,0.8185,0.7094,20991,6.5,270.1491,East,1.2511,2026-03-15T05:18:36Z,148.87393831330436,69.3214539821418,LIGHT
8,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0008.fits,L,2026-03-15T01:19:00Z,30,1x1,-15,-15,0,50,109.7061,519.3391,518,396,65535,848,2.3101,0.245,3.4522980583669645,0.49377738342960265,0.9199,0.7973,0.5951,0.5157,0.7015,0.608,20991,6.5,270.1491,East,1.2514,2026-03-15T05:19:07Z,148.87393832731507,69.32145395349475,LIGHT
9,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0009.fits,L,2026-03-15T01:19:00Z,30,1x1,-15,-15,0,50,112.1722,519.3492,518,388,65535,854,2.1853,0.2376,3.2394930494115854,0.466298323506079,0.7925,0.6868,0.3955,0.3428,0.6868,0.5952,20991,6.5,270.1491,East,1.2517,2026-03-15T05:19:38Z,148.87393834046554,69.32145392661091,LIGHT
10,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0010.fits,L,2026-03-15T01:20:00Z,30,1x1,-15,-15,0,50,104.5224,519.3652,518,388,65535,833,2.4372,0.2901,3.724254525571149,0.5015266832948377,1.3488,1.1689,0.9174,0.7951,0.9887,0.8569,20991,6.5,270.1491,East,1.2522,2026-03-15T05:20:15Z,148.87393835713084,69.32145389254728,LIGHT
11,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0011.fits,L,2026-03-15T01:20:00Z,30,1x1,-15,-15,0,50,110.8276,519.345,518,391,65535,835,2.2406,0.2393,3.3172801170151303,0.4142416923046688,0.8332,0.7221,0.6328,0.5484,0.542,0.4697,20991,6.5,270.1491,East,1.2525,2026-03-15T05:20:46Z,148.873938370293,69.32145386564872,LIGHT
12,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0012.fits,L,2026-03-15T01:21:00Z,30,1x1,-15,-15,0,50,108.3662,519.3617,518,391,65535,846,2.3141,0.2645,3.5087401647064596,0.4655645625721209,0.869,0.7531,0.6111,0.5296,0.6178,0.5355,20991,6.5,270.1491,East,1.2528,2026-03-15T05:21:17Z,148.8697481955949,69.32144787115803,LIGHT
13,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0013.fits,L,2026-03-15T01:21:00Z,30,1x1,-15,-15,0,50,101.7817,519.335,518,385,65535,796,2.5043,0.2993,3.7896315257152815,0.4388065390943347,1.1664,1.0109,0.8789,0.7617,0.7669,0.6646,20991,6.5,270.1491,East,1.2532,2026-03-15T05:21:47Z,148.86974820960876,69.32144784254149,LIGHT
14,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0014.fits,L,2026-03-15T01:22:00Z,30,1x1,-15,-15,0,50,100.3178,519.2668,518,396,65535,792,2.5787,0.3055,3.96364413536577,0.3583328625309179,1.1085,0.9607,0.7915,0.686,0.776,0.6726,20991,6.5,270.1491,East,1.2535,2026-03-15T05:22:18Z,148.86974822277165,69.3214478156668,LIGHT
15,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0015.fits,L,2026-03-15T01:22:00Z,30,1x1,-15,-15,0,50,108.2189,519.2514,518,372,65535,821,2.3575,0.26,3.526313451345453,0.5192916504435258,0.8844,0.7665,0.4829,0.4185,0.7409,0.6421,20991,6.5,270.1491,East,1.2539,2026-03-15T05:22:49Z,148.86974823595386,69.32144778875657,LIGHT
16,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0016.fits,L,2026-03-15T01:24:00Z,30,1x1,-15,-15,0,50,101.7331,519.3313,518,393,65535,795,2.5371,0.2955,3.877622523060402,0.4861601525068168,1.1462,0.9934,0.7024,0.6087,0.9058,0.785,20979,6.5,270.1491,East,1.2554,2026-03-15T05:24:56Z,148.86974829215387,69.32144767407559,LIGHT
17,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0017.fits,L,2026-03-15T01:25:00Z,30,1x1,-15,-15,0,50,104.53,519.3466,518,398,65535,801,2.4756,0.2701,3.7323292890326063,0.48355657290131626,1.0875,0.9425,0.7391,0.6405,0.7978,0.6914,20979,6.5,270.1491,East,1.2557,2026-03-15T05:25:26Z,148.8697483053423,69.32144764717405,LIGHT
18,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0018.fits,L,2026-03-15T01:25:00Z,30,1x1,-15,-15,0,50,107.2641,519.3293,518,394,65535,841,2.3695,0.2764,3.573409323029036,0.4299746489564554,0.8025,0.6955,0.5547,0.4808,0.5798,0.5025,20979,6.5,270.1491,East,1.2561,2026-03-15T05:25:57Z,148.86974831849523,69.32144762034898,LIGHT
19,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0019.fits,L,2026-03-15T01:26:00Z,30,1x1,-15,-15,0,50,108.3063,519.34760000000006,518,385,65535,842,2.3313,0.2544,3.501176951942129,0.42871208209230766,0.8979,0.7781,0.6331,0.5487,0.6366,0.5517,20979,6.5,270.1491,East,1.2565,2026-03-15T05:26:28Z,148.86974833255042,69.32144759168824,LIGHT
20,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0020.fits,L,2026-03-15T01:27:00Z,30,1x1,-15,-15,0,50,107.863,519.4481,518,400,65535,811,2.3806,0.2472,3.598231044519572,0.5167273750128255,0.7929,0.6872,0.4809,0.4168,0.6305,0.5464,20979,6.5,270.1491,East,1.2569,2026-03-15T05:27:04Z,148.86974834840464,69.32144755936459,LIGHT
21,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0021.fits,L,2026-03-15T01:27:00Z,30,1x1,-15,-15,0,50,103.0553,519.4201,518,394,65535,812,2.514,0.2797,3.942232176598542,0.42948525927279024,1.0156,0.8801,0.7039,0.61,0.7321,0.6345,20979,6.5,270.1491,East,1.2573,2026-03-15T05:27:34Z,148.86555817496358,69.32144156427844,LIGHT
22,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0022.fits,L,2026-03-15T01:28:00Z,30,1x1,-15,-15,0,50,109.2211,519.4095,518,386,65535,846,2.2976,0.2595,3.441981155610003,0.43280961872221385,0.7233,0.6269,0.5601,0.4854,0.4577,0.3967,20979,6.5,270.1491,East,1.2576,2026-03-15T05:28:05Z,148.8655581881613,69.32144153739232,LIGHT
23,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0023.fits,L,2026-03-15T01:28:00Z,30,1x1,-15,-15,0,50,109.4476,519.5313,518,385,65535,821,2.3312,0.2494,3.497219975167774,0.478306921015247,0.7627,0.661,0.5529,0.4792,0.5254,0.4553,20979,6.5,270.1491,East,1.258,2026-03-15T05:28:35Z,148.8655582022496,69.3214415086964,LIGHT
24,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0024.fits,L,2026-03-15T01:29:00Z,30,1x1,-15,-15,0,50,108.7016,519.5016,518,389,65535,814,2.3837,0.2513,3.6184081839155033,0.53736319820282,0.9868,0.8552,0.6506,0.5639,0.7419,0.643,20979,6.5,270.1491,East,1.2584,2026-03-15T05:29:06Z,148.8655582154427,69.32144148182796,LIGHT
25,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0025.fits,L,2026-03-15T01:29:00Z,30,1x1,-15,-15,0,50,112.6318,519.4036,518,385,65535,842,2.2693,0.2395,3.378286583135873,0.4666898898326748,0.8038,0.6966,0.7044,0.6105,0.3872,0.3355,20979,6.5,270.1491,East,1.2588,2026-03-15T05:29:37Z,148.8655582286486,69.32144145493743,LIGHT
26,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_L_30.00_0026.fits,L,2026-03-15T01:30:00Z,30,1x1,-15,-15,0,50,113.0189,519.4583,518,376,65535,840,2.2381,0.2481,3.3157977006508363,0.4842867377443736,0.677,0.5867,0.5761,0.4993,0.3556,0.3082,20979,6.495,270.1491,East,1.2592,2026-03-15T05:30:07Z,148.86555824275092,69.32144142622622,LIGHT
