ExposureNumber,FilePath,FilterName,ExposureStart,Duration,Binning,CameraTemp,CameraTargetTemp,Gain,Offset,ADUStDev,ADUMean,ADUMedian,ADUMin,ADUMax,DetectedStars,HFR,HFRStDev,FWHM,Eccentricity,GuidingRMS,GuidingRMSArcSec,GuidingRMSRA,GuidingRMSRAArcSec,GuidingRMSDEC,GuidingRMSDECArcSec,FocuserPosition,FocuserTemp,RotatorPosition,PierSide,Airmass,ExposureStartUTC,MountRA,MountDec,ImageType
0,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0000.fits,H,2026-03-15T00:11:00Z,120,1x1,-14.8,-15,100,50,20.46,504.0668,504,313,41820,252,2.5348,0.2753,3.820378566776484,0.407994466026667,1.2153,1.0533,0.8401,0.7281,0.8782,0.7611,21010,5.5,270.1491,East,1.2271,2026-03-15T04:11:03Z,148.92422212007187,69.32125132786125,LIGHT
1,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0001.fits,H,2026-03-15T00:13:00Z,120,1x1,-15,-15,100,50,19.8484,504.0413,504,305,40080,243,2.5809,0.2696,3.9438631670228426,0.4554359805554187,1.4106,1.2225,0.9413,0.8158,1.0506,0.9106,21010,5.5,270.1491,East,1.2273,2026-03-15T04:13:04Z,148.9242221720423,69.32125121884562,LIGHT
2,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0002.fits,H,2026-03-15T00:15:00Z,120,1x1,-15,-15,100,50,19.8189,504.0418,504,332,35413,259,2.4727,0.2497,3.691147147546789,0.4690393608529046,1.1075,0.9598,0.7646,0.6627,0.8011,0.6943,21010,5.5,270.1491,East,1.2275,2026-03-15T04:15:04Z,148.92003202085178,69.32124515171154,LIGHT
3,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0003.fits,H,2026-03-15T00:17:00Z,120,1x1,-15,-15,100,50,20.4812,504.0287,504,323,34871,258,2.5894,0.2595,3.886304411506546,0.43760999250070337,1.3063,1.1321,0.842,0.7297,0.9988,0.8656,21010,5.5,270.1491,East,1.2278,2026-03-15T04:17:05Z,148.92003207207443,69.32124504444798,LIGHT
4,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0004.fits,H,2026-03-15T00:19:00Z,120,1x1,-15,-15,100,50,19.2075,504.0281,504,330,35099,241,2.6943,0.257,4.083007026855286,0.47855633420136234,1.4589,1.2644,0.888,0.7696,1.1575,1.0032,21010,5.5,270.1491,East,1.228,2026-03-15T04:19:05Z,148.91584192301224,69.3212389749496,LIGHT
5,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0005.fits,H,2026-03-15T00:21:00Z,120,1x1,-15,-15,100,50,17.7177,504.0299,504,317,34925,235,2.7969,0.3191,4.321923692552931,0.4681796162493377,1.7398,1.5078,1.0227,0.8863,1.4075,1.2198,21010,5.5,270.1491,East,1.2283,2026-03-15T04:21:06Z,148.9158419743386,69.32123886765277,LIGHT
6,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0006.fits,H,2026-03-15T00:23:00Z,120,1x1,-15,-15,100,50,17.659,504.0263,504,333,34960,242,2.7838,0.3003,4.367699386831666,0.4462319419541684,1.4962,1.2967,0.8977,0.778,1.197,1.0374,21010,5.5,270.1491,East,1.2287,2026-03-15T04:23:07Z,148.91584202567594,69.32123876039779,LIGHT
7,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0007.fits,H,2026-03-15T00:26:00Z,120,1x1,-15,-15,100,50,17.3182,504.0354,504,319,34909,228,2.9768,0.3391,4.775195974234117,0.4306174107167805,1.4847,1.2868,1.012,0.8771,1.0864,0.9415,20984,5.5,270.1491,East,1.2294,2026-03-15T04:26:46Z,148.9116519200269,69.32123260255334,LIGHT
8,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0008.fits,H,2026-03-15T00:28:00Z,120,1x1,-15,-15,100,50,17.7508,504.0358,504,338,35060,226,2.8809,0.2955,4.614134060719967,0.4388227509782199,1.3406,1.1619,0.8447,0.732,1.0411,0.9022,20984,5.49,270.1491,East,1.2298,2026-03-15T04:28:47Z,148.91165197233104,69.32123249351949,LIGHT
9,c:/users/bcart/astronomy/ASI2600MM/Subs//M81/M81_2026-03-14/M81_2026-03-14_LIGHT_H_120.00_0009.fits,H,2026-03-15T00:30:00Z,120,1x1,-15,-15,100,50,16.5907,504.0486,504,326,34632,188,3.3837,0.401,5.770244357186263,0.5309837671839592,2.8174,2.4417,1.9182,1.6625,2.0635,1.7884,20984,5.455,270.1491,East,1.2303,2026-03-15T04:30:48Z,148.90746182519666,69.3212264243847,LIGHT
