DATE,LEVEL,SOURCE,MEMBER,LINE,MESSAGE
2025-07-08T22:35:56.8407,INFO,TelescopeVM.cs,SlewToCoordinatesAsync,926,Slewing from RA: 20:00:43; Dec: 22° 47' 26"; Epoch: JNOW to RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW - Alt: 38° 13' 31"; Az: 86° 10' 21"
2025-07-08T22:36:02.1659,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 5s; Filter: L; Gain: 350; Offset 50; Binning: 1x1;
2025-07-08T22:36:08.6271,INFO,ImageSolver.cs,Solve,41,Platesolving with parameters: FocalLength: 619 PixelSize: 3.76 SearchRadius: 30 BlindFailoverEnabled: False Regions: 5000 DownSampleFactor: 0 MaxObjects: 500 Reference Coordinates RA: 19:59:36 Dec: 22° 43' 16" Epoch: J2000
2025-07-08T22:36:09.1083,INFO,BaseImageData.cs,SaveToDisk,344,Saved image to C:\Users\bcart\AppData\Local\NINA\PlateSolver\0va5l3gb.5ik.fits
2025-07-08T22:36:10.7687,INFO,ImageSolver.cs,Solve,54,Platesolve successful: Coordinates: RA: 20:00:56; Dec: 17° 30' 43"; Epoch: J2000
2025-07-08T22:36:10.7699,INFO,CenteringSolver.cs,Center,99,Centering Solver - Scope Position: RA: 20:00:43; Dec: 22° 47' 26"; Epoch: JNOW; Offset: RA: 00:00:00; Dec: 00° 00' 00"; Distance: 00° 00' 00"; Bearing: 00° 00' 00"; Centering Coordinates: RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW; Solved: RA: 20:02:07; Dec: 17° 34' 56"; Epoch: JNOW; Separation RA: -00:01:23; Dec: 05° 12' 30"; Distance: 05° 13' 06"; Bearing: -176° 21' 52"; Threshold: 1
2025-07-08T22:36:10.8109,INFO,TelescopeVM.cs,Sync,800,Syncing scope from RA: 20:00:43; Dec: 22° 47' 26"; Epoch: JNOW to RA: 20:02:07; Dec: 17° 34' 56"; Epoch: JNOW
2025-07-08T22:36:15.8134,INFO,CenteringSolver.cs,Center,132,Slewing to target after sync. Current Position: RA: 20:02:07; Dec: 17° 34' 56"; Epoch: JNOW; Target coordinates: RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW; Offset RA: 00:00:00; Dec: 00° 00' 00"; Distance: 00° 00' 00"; Bearing: 00° 00' 00"
2025-07-08T22:36:15.8404,INFO,TelescopeVM.cs,SlewToCoordinatesAsync,926,Slewing from RA: 20:02:07; Dec: 17° 34' 56"; Epoch: JNOW to RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW - Alt: 38° 17' 28"; Az: 86° 12' 48"
2025-07-08T22:36:24.0781,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 5s; Filter: L; Gain: 350; Offset 50; Binning: 1x1;
2025-07-08T22:36:30.5018,INFO,ImageSolver.cs,Solve,41,Platesolving with parameters: FocalLength: 619 PixelSize: 3.76 SearchRadius: 30 BlindFailoverEnabled: False Regions: 5000 DownSampleFactor: 0 MaxObjects: 500 Reference Coordinates RA: 19:59:36 Dec: 22° 43' 16" Epoch: J2000
2025-07-08T22:36:30.9765,INFO,BaseImageData.cs,SaveToDisk,344,Saved image to C:\Users\bcart\AppData\Local\NINA\PlateSolver\m2uvnt4r.usi.fits
2025-07-08T22:36:32.5408,INFO,ImageSolver.cs,Solve,54,Platesolve successful: Coordinates: RA: 19:59:18; Dec: 22° 42' 21"; Epoch: J2000
2025-07-08T22:36:32.5442,INFO,CenteringSolver.cs,Center,99,Centering Solver - Scope Position: RA: 20:00:43; Dec: 22° 47' 25"; Epoch: JNOW; Offset: RA: 00:00:00; Dec: 00° 00' 00"; Distance: 00° 00' 00"; Bearing: 00° 00' 00"; Centering Coordinates: RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW; Solved: RA: 20:00:25; Dec: 22° 46' 30"; Epoch: JNOW; Separation RA: 00:00:19; Dec: 00° 00' 56"; Distance: 00° 04' 22"; Bearing: 102° 15' 49"; Threshold: 1
2025-07-08T22:36:32.5796,INFO,TelescopeVM.cs,Sync,800,Syncing scope from RA: 20:00:43; Dec: 22° 47' 25"; Epoch: JNOW to RA: 20:00:25; Dec: 22° 46' 30"; Epoch: JNOW
2025-07-08T22:36:37.5815,INFO,CenteringSolver.cs,Center,132,Slewing to target after sync. Current Position: RA: 20:00:25; Dec: 22° 46' 30"; Epoch: JNOW; Target coordinates: RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW; Offset RA: 00:00:00; Dec: 00° 00' 00"; Distance: 00° 00' 00"; Bearing: 00° 00' 00"
2025-07-08T22:36:37.5856,INFO,TelescopeVM.cs,SlewToCoordinatesAsync,926,Slewing from RA: 20:00:25; Dec: 22° 46' 30"; Epoch: JNOW to RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW - Alt: 38° 21' 59"; Az: 86° 15' 35"
2025-07-08T22:36:43.7584,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 5s; Filter: L; Gain: 350; Offset 50; Binning: 1x1;
2025-07-08T22:36:50.1607,INFO,ImageSolver.cs,Solve,41,Platesolving with parameters: FocalLength: 619 PixelSize: 3.76 SearchRadius: 30 BlindFailoverEnabled: False Regions: 5000 DownSampleFactor: 0 MaxObjects: 500 Reference Coordinates RA: 19:59:36 Dec: 22° 43' 16" Epoch: J2000
2025-07-08T22:36:50.6454,INFO,BaseImageData.cs,SaveToDisk,344,Saved image to C:\Users\bcart\AppData\Local\NINA\PlateSolver\eb3i0l2b.krx.fits
2025-07-08T22:36:52.2554,INFO,ImageSolver.cs,Solve,54,Platesolve successful: Coordinates: RA: 19:59:33; Dec: 22° 43' 13"; Epoch: J2000
2025-07-08T22:36:52.2583,INFO,CenteringSolver.cs,Center,99,Centering Solver - Scope Position: RA: 20:00:43; Dec: 22° 47' 24"; Epoch: JNOW; Offset: RA: 00:00:00; Dec: 00° 00' 00"; Distance: 00° 00' 00"; Bearing: 00° 00' 00"; Centering Coordinates: RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW; Solved: RA: 20:00:41; Dec: 22° 47' 22"; Epoch: JNOW; Separation RA: 00:00:03; Dec: 00° 00' 04"; Distance: 00° 00' 44"; Bearing: 94° 44' 23"; Threshold: 1
2025-07-08T22:36:52.2584,INFO,CenteringSolver.cs,Center,165,Restoring filter to L after centering
2025-07-08T22:36:52.2598,INFO,SequenceItem.cs,Run,254,Finishing Category: Telescope, Item: CenterAndRotate, Coordinates RA: 19:59:36; Dec: 22° 43' 16"; Epoch: J2000, Position Angle: 0°
2025-07-08T22:36:52.2601,INFO,MeridianFlipTrigger.cs,ShouldTrigger,265,Meridian Flip - There is still time remaining - max remaining time 03:57:02, next instruction time 0, next instruction Category: Utility, Item: Annotation, Text: Using offsets based of Luminance filter. - and the telescope reports expected pier side pierWest. Automated Flip is not necessary.
2025-07-08T22:36:52.2601,INFO,SequenceItem.cs,Run,208,Starting Category: Utility, Item: Annotation, Text: Using offsets based of Luminance filter.
2025-07-08T22:36:52.2602,INFO,SequenceItem.cs,Run,254,Finishing Category: Utility, Item: Annotation, Text: Using offsets based of Luminance filter.
2025-07-08T22:36:52.2603,INFO,MeridianFlipTrigger.cs,ShouldTrigger,265,Meridian Flip - There is still time remaining - max remaining time 03:57:02, next instruction time 0, next instruction Category: Filter Wheel, Item: SwitchFilter, Filter: L - and the telescope reports expected pier side pierWest. Automated Flip is not necessary.
2025-07-08T22:36:52.2604,INFO,SequenceItem.cs,Run,208,Starting Category: Filter Wheel, Item: SwitchFilter, Filter: L
2025-07-08T22:36:52.2619,INFO,SequenceItem.cs,Run,254,Finishing Category: Filter Wheel, Item: SwitchFilter, Filter: L
