----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-26T16:18:14--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 15.75 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-26T16:18:14.5241|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2025-07-26T16:18:14.7664|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-07-26T16:18:15.2025|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-07-26T16:18:15.2097|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-07-26T16:18:16.2326|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-07-26T16:18:16.3287|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-07-26T16:18:16.3372|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-07-26T16:18:16.3527|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-07-26T16:18:16.4457|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-07-26T16:18:16.4597|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-07-26T16:18:16.4761|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-07-26T16:18:18.1637|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 7.0.2.4675 installed
2025-07-26T16:18:18.9883|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 398.76 GB
2025-07-26T16:18:18.9887|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 258.73 GB
2025-07-26T16:18:21.3182|INFO|API.cs|Start|98|Starting Webserver
2025-07-26T16:18:21.3201|INFO|API.cs|APITask|132|starting web server, listening at 192.168.1.119:1888
2025-07-26T16:18:21.4883|INFO|NINALogWatcher.cs|Start|33|watching log file: C:\Users\Brian Carter\AppData\Local\NINA\Logs\20250726-161813-3.1.2.9001.18204-202507.log
2025-07-26T16:18:21.5234|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Advanced API version 2.2.6.2 by Christian Palm
2025-07-26T16:18:21.5533|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Autofocus Report Analysis version 2.0.0.9 by Stefan Berg @isbeorn
2025-07-26T16:18:21.6105|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Connector version 2.0.3.0 by Stefan Berg
2025-07-26T16:18:21.6451|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Device Actions and Commands version 2.0.0.0 by Dale Ghent
2025-07-26T16:18:21.6783|ERROR|ExposureCalculatorDock.cs|Failed to read SharpCap sensor analysis data|117
System.IO.DirectoryNotFoundException: Could not find a part of the path 'C:\Users\bcart\Astronomy\astro-tools\data'.
