SubframeSelector module version 1.9.1
Subframe Scale,0.80000
Camera Gain,1.00000
Camera Resolution,"16-bit [0,65535]"
Site Local Midnight,24
Scale Unit,"Arcseconds (arcsec)"
Data Unit,"Normalized to [0,1]"
Trimming Factor,0.10
Structure Layers,5
Noise Layers,0
Hot Pixel Filter Radius,1
Noise Reduction Filter Radius,0
Sensitivity,0.50000
Peak Response,0.500
Maximum Star Distortion,0.600
Upper Limit,1.000
Pedestal,0
Subframe Region,0,0,0,0
PSF Type,"Moffat beta = 4"
Circular PSF,false
Approval expression,""
Weighting expression,""
Index,Approved,Locked,File,Weight,PSF Signal Weight,PSF SNR,PSF Scale,PSF Scale SNR,PSF Count,M*,N*,SNR,FWHM,Eccentricity,Altitude,Azimuth,Median,Median Mean Deviation,Noise,Noise Ratio,Stars,Star Residual,PSF Total Flux,PSF Total Power Flux,PSF Total Mean Flux,PSF Total Mean Power Flux,FWHM Mean Deviation,Eccentricity Mean Deviation,Star Residual Mean Deviation
11,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0068.fits",0.000000e+00,5.517674e-03,9.547487e-03,0.000000e+00,0.000000e+00,919,4.7365e-04,6.8692e-04,1.2835e+00,2.0806e+00,5.7454e-01,5.6567e+01,7.7282e+01,1.551842e-02,5.865423e-04,6.9413e-04,9.5150e-01,918,5.4270e-04,4.175210e+02,1.547414e+03,7.342046e+00,7.064404e-02,1.0195e-01,8.0019e-02,2.2106e-05
12,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0069.fits",0.000000e+00,5.156641e-03,9.372473e-03,0.000000e+00,0.000000e+00,876,4.7266e-04,6.8520e-04,1.2871e+00,2.1421e+00,4.7831e-01,5.7612e+01,7.7638e+01,1.545738e-02,5.844865e-04,6.9167e-04,9.5160e-01,875,5.4295e-04,4.122073e+02,1.551590e+03,6.910961e+00,6.560816e-02,9.6758e-02,9.4529e-02,2.2343e-05
13,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0070.fits",0.000000e+00,5.177241e-03,9.681848e-03,0.000000e+00,0.000000e+00,859,4.6876e-04,6.7948e-04,1.2880e+00,2.1709e+00,4.5063e-01,5.8654e+01,7.7988e+01,1.532005e-02,5.802032e-04,6.8627e-04,9.5110e-01,860,5.3815e-04,4.156860e+02,1.602337e+03,6.770543e+00,6.397896e-02,1.0097e-01,1.0500e-01,2.2399e-05
14,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0071.fits",0.000000e+00,6.180133e-03,1.005388e-02,0.000000e+00,0.000000e+00,944,4.6643e-04,6.7574e-04,1.2733e+00,1.9967e+00,4.6931e-01,5.9698e+01,7.8335e+01,1.524376e-02,5.773460e-04,6.8295e-04,9.5040e-01,943,5.3791e-04,4.215469e+02,1.570089e+03,7.891691e+00,7.951779e-02,1.1419e-01,1.0198e-01,2.3502e-05
15,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0072.fits",0.000000e+00,5.502897e-03,1.032805e-02,0.000000e+00,0.000000e+00,873,4.6357e-04,6.7173e-04,1.2837e+00,2.1813e+00,4.5700e-01,6.0733e+01,7.8673e+01,1.515221e-02,5.743427e-04,6.7925e-04,9.5003e-01,871,5.3311e-04,4.249454e+02,1.662746e+03,6.890477e+00,6.576203e-02,1.0145e-01,9.5794e-02,2.1681e-05
16,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0073.fits",0.000000e+00,4.410569e-03,1.017846e-02,0.000000e+00,0.000000e+00,782,4.6119e-04,6.6784e-04,1.2690e+00,2.4448e+00,4.7003e-01,6.1807e+01,7.9018e+01,1.504540e-02,5.714262e-04,6.7539e-04,9.5028e-01,782,5.3464e-04,4.194583e+02,1.713279e+03,5.534604e+00,4.700595e-02,1.1864e-01,1.2096e-01,2.2871e-05
17,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0074.fits",0.000000e+00,5.648466e-03,1.077608e-02,0.000000e+00,0.000000e+00,893,4.5997e-04,6.6576e-04,1.2847e+00,2.1939e+00,4.8965e-01,6.2875e+01,7.9355e+01,1.499961e-02,5.696296e-04,6.7364e-04,9.4983e-01,892,5.2833e-04,4.304785e+02,1.712698e+03,6.870339e+00,6.393476e-02,9.9958e-02,8.5657e-02,2.0947e-05
18,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0075.fits",0.000000e+00,5.406794e-03,1.063473e-02,0.000000e+00,0.000000e+00,879,4.5728e-04,6.6180e-04,1.2835e+00,2.2256e+00,4.9324e-01,6.3924e+01,7.9681e+01,1.492332e-02,5.674165e-04,6.7081e-04,9.4945e-01,880,5.3162e-04,4.258486e+02,1.674574e+03,6.581295e+00,5.938048e-02,1.1183e-01,9.9030e-02,2.3239e-05
19,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0076.fits",0.000000e+00,5.024225e-03,1.081664e-02,0.000000e+00,0.000000e+00,848,4.5741e-04,6.6204e-04,1.2808e+00,2.3378e+00,4.5819e-01,6.4973e+01,8.0000e+01,1.490806e-02,5.667162e-04,6.6984e-04,9.4948e-01,848,5.2573e-04,4.288538e+02,1.723143e+03,6.065720e+00,5.204596e-02,9.7813e-02,1.0678e-01,2.0080e-05
20,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0077.fits",0.000000e+00,5.665325e-03,1.298414e-02,0.000000e+00,0.000000e+00,863,4.5494e-04,6.5833e-04,1.2889e+00,2.3549e+00,5.7219e-01,6.6021e+01,8.0311e+01,1.484703e-02,5.654864e-04,6.6727e-04,9.4904e-01,863,5.2635e-04,4.680613e+02,2.314998e+03,6.208964e+00,5.392373e-02,8.5175e-02,6.7276e-02,2.1159e-05
