SubframeSelector module version 1.9.1
Subframe Scale,0.80000
Camera Gain,1.00000
Camera Resolution,"16-bit [0,65535]"
Site Local Midnight,24
Scale Unit,"Arcseconds (arcsec)"
Data Unit,"Normalized to [0,1]"
Trimming Factor,0.10
Structure Layers,5
Noise Layers,0
Hot Pixel Filter Radius,1
Noise Reduction Filter Radius,0
Sensitivity,0.50000
Peak Response,0.500
Maximum Star Distortion,0.600
Upper Limit,1.000
Pedestal,0
Subframe Region,0,0,0,0
PSF Type,"Moffat beta = 4"
Circular PSF,false
Approval expression,""
Weighting expression,""
Index,Approved,Locked,File,Weight,PSF Signal Weight,PSF SNR,PSF Scale,PSF Scale SNR,PSF Count,M*,N*,SNR,FWHM,Eccentricity,Altitude,Azimuth,Median,Median Mean Deviation,Noise,Noise Ratio,Stars,Star Residual,PSF Total Flux,PSF Total Power Flux,PSF Total Mean Flux,PSF Total Mean Power Flux,FWHM Mean Deviation,Eccentricity Mean Deviation,Star Residual Mean Deviation
40,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0100.fits",0.000000e+00,6.347533e-03,1.254183e-02,0.000000e+00,0.000000e+00,939,4.4973e-04,6.5077e-04,1.2934e+00,2.1538e+00,5.6431e-01,8.7101e+01,2.8324e+02,1.466391e-02,5.596720e-04,6.5981e-04,9.4775e-01,936,5.2904e-04,4.548749e+02,2.198612e+03,6.997251e+00,6.167757e-02,1.0322e-01,7.1827e-02,2.5836e-05
41,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0101.fits",0.000000e+00,6.966073e-03,1.267131e-02,0.000000e+00,0.000000e+00,963,4.5131e-04,6.5328e-04,1.2890e+00,2.1071e+00,4.8740e-01,8.6045e+01,2.8029e+02,1.472495e-02,5.619805e-04,6.6249e-04,9.4744e-01,959,5.2706e-04,4.590743e+02,2.164199e+03,7.666561e+00,7.395170e-02,1.1493e-01,8.2898e-02,2.4049e-05
42,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0102.fits",0.000000e+00,5.206217e-03,1.291603e-02,0.000000e+00,0.000000e+00,835,4.5198e-04,6.5437e-04,1.2908e+00,2.5131e+00,4.7655e-01,8.4942e+01,2.7869e+02,1.475547e-02,5.634720e-04,6.6412e-04,9.4802e-01,834,5.2490e-04,4.646277e+02,2.395794e+03,5.683682e+00,4.642960e-02,9.4056e-02,8.8853e-02,2.1303e-05
43,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0103.fits",0.000000e+00,6.482592e-03,1.263026e-02,0.000000e+00,0.000000e+00,945,4.5480e-04,6.5793e-04,1.2929e+00,2.1517e+00,4.5179e-01,8.3887e+01,2.7784e+02,1.481651e-02,5.650394e-04,6.6632e-04,9.4787e-01,945,5.3003e-04,4.609751e+02,2.204351e+03,7.201287e+00,6.521428e-02,1.1295e-01,8.6800e-02,2.4249e-05
44,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0104.fits",0.000000e+00,6.616694e-03,1.227178e-02,0.000000e+00,0.000000e+00,965,4.5624e-04,6.6074e-04,1.2877e+00,2.0972e+00,4.7600e-01,8.2823e+01,2.7734e+02,1.489280e-02,5.676119e-04,6.6932e-04,9.4797e-01,964,5.2777e-04,4.564320e+02,2.108422e+03,7.480419e+00,6.887976e-02,9.5929e-02,8.5337e-02,2.2432e-05
45,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0105.fits",0.000000e+00,5.303577e-03,1.223054e-02,0.000000e+00,0.000000e+00,872,4.5829e-04,6.6330e-04,1.2909e+00,2.3703e+00,4.9852e-01,8.1761e+01,2.7706e+02,1.495384e-02,5.700593e-04,6.7173e-04,9.4859e-01,871,5.3000e-04,4.573071e+02,2.241239e+03,6.032987e+00,4.954672e-02,8.3116e-02,7.1431e-02,2.1798e-05
46,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0106.fits",0.000000e+00,6.255164e-03,1.197593e-02,0.000000e+00,0.000000e+00,939,4.6093e-04,6.6706e-04,1.2911e+00,2.1352e+00,4.2973e-01,8.0692e+01,2.7693e+02,1.501487e-02,5.721788e-04,6.7452e-04,9.4834e-01,940,5.3458e-04,4.544023e+02,2.108138e+03,7.232114e+00,6.591292e-02,8.6019e-02,9.7828e-02,2.2939e-05
47,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0107.fits",0.000000e+00,5.795534e-03,1.208520e-02,0.000000e+00,0.000000e+00,913,4.6176e-04,6.6845e-04,1.2896e+00,2.2447e+00,5.4882e-01,7.9606e+01,2.7691e+02,1.506065e-02,5.740292e-04,6.7604e-04,9.4647e-01,911,5.3510e-04,4.574995e+02,2.183325e+03,6.682462e+00,5.812639e-02,1.1355e-01,6.4848e-02,2.3065e-05
48,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0108.fits",0.000000e+00,5.610052e-03,1.145797e-02,0.000000e+00,0.000000e+00,889,4.6519e-04,6.7365e-04,1.2867e+00,2.2548e+00,4.1578e-01,7.8544e+01,2.7695e+02,1.519798e-02,5.777460e-04,6.8110e-04,9.4898e-01,889,5.3839e-04,4.488022e+02,2.137412e+03,6.692504e+00,6.058458e-02,8.3906e-02,9.6582e-02,2.4560e-05
49,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0109.fits",0.000000e+00,6.300886e-03,1.132642e-02,0.000000e+00,0.000000e+00,941,4.6812e-04,6.7792e-04,1.2920e+00,2.1010e+00,4.2752e-01,7.7458e+01,2.7706e+02,1.528953e-02,5.809259e-04,6.8502e-04,9.4919e-01,941,5.4039e-04,4.487879e+02,2.036914e+03,7.607805e+00,7.426090e-02,9.4214e-02,9.8695e-02,2.3415e-05
50,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0110.fits",0.000000e+00,5.602591e-03,1.170112e-02,0.000000e+00,0.000000e+00,898,4.6920e-04,6.8010e-04,1.2923e+00,2.2862e+00,5.0023e-01,7.6382e+01,2.7720e+02,1.535057e-02,5.832530e-04,6.8739e-04,9.4943e-01,898,5.4247e-04,4.577316e+02,2.160642e+03,6.670896e+00,5.972665e-02,7.9068e-02,1.0134e-01,2.4007e-05
51,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0111.fits",0.000000e+00,6.055420e-03,1.099765e-02,0.000000e+00,0.000000e+00,938,4.7199e-04,6.8438e-04,1.2939e+00,2.0880e+00,4.3086e-01,7.5311e+01,2.7738e+02,1.545739e-02,5.866594e-04,6.9149e-04,9.4955e-01,937,5.4610e-04,4.464039e+02,2.023435e+03,7.481303e+00,7.090498e-02,7.7592e-02,8.8943e-02,2.2034e-05
52,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0112.fits",0.000000e+00,6.705161e-03,1.038111e-02,0.000000e+00,0.000000e+00,971,4.7611e-04,6.9120e-04,1.2944e+00,1.9693e+00,4.1008e-01,7.4250e+01,2.7758e+02,1.564049e-02,5.925561e-04,6.9868e-04,9.4977e-01,969,5.5042e-04,4.382173e+02,1.869060e+03,8.600900e+00,9.303129e-02,8.3978e-02,9.4404e-02,2.4236e-05
53,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0113.fits",0.000000e+00,5.091382e-03,1.030421e-02,0.000000e+00,0.000000e+00,862,4.7980e-04,6.9645e-04,1.3012e+00,2.2321e+00,4.5012e-01,7.3186e+01,2.7781e+02,1.579309e-02,5.980892e-04,7.0480e-04,9.5030e-01,864,5.5442e-04,4.404203e+02,2.057656e+03,6.605959e+00,6.009344e-02,8.2531e-02,9.3716e-02,2.3790e-05
54,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0114.fits",0.000000e+00,5.935692e-03,9.897128e-03,0.000000e+00,0.000000e+00,934,4.8572e-04,7.0491e-04,1.3062e+00,2.0068e+00,4.6096e-01,7.2126e+01,2.7805e+02,1.605248e-02,6.077226e-04,7.1584e-04,9.5011e-01,935,5.6625e-04,4.383887e+02,1.937097e+03,7.955273e+00,8.049182e-02,8.5312e-02,8.5316e-02,2.4786e-05
55,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0115.fits",0.000000e+00,5.603530e-03,9.318453e-03,0.000000e+00,0.000000e+00,904,5.0139e-04,7.2466e-04,1.2929e+00,2.0498e+00,4.5521e-01,7.1071e+01,2.7831e+02,1.654078e-02,6.267730e-04,7.3760e-04,9.5118e-01,904,5.7957e-04,4.383117e+02,1.928784e+03,7.989484e+00,8.516425e-02,8.2834e-02,8.7702e-02,2.3651e-05
56,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0058.fits",0.000000e+00,1.797455e-03,3.307597e-03,0.000000e+00,0.000000e+00,591,5.5865e-04,8.0565e-04,1.3771e+00,2.1282e+00,6.7048e-01,4.4412e+01,7.2792e+01,1.820401e-02,7.130900e-04,8.1727e-04,9.6267e-01,589,6.4229e-04,2.893426e+02,1.151116e+03,4.792804e+00,4.465798e-02,1.3304e-01,6.2071e-02,2.8074e-05
57,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0059.fits",0.000000e+00,2.543389e-03,4.581484e-03,0.000000e+00,0.000000e+00,689,5.0483e-04,7.2939e-04,1.2920e+00,2.1177e+00,5.6722e-01,4.5725e+01,7.3308e+01,1.667811e-02,6.278954e-04,7.4446e-04,9.5847e-01,689,5.8125e-04,3.101960e+02,1.127678e+03,5.207250e+00,4.539674e-02,1.0557e-01,8.8986e-02,2.2812e-05
58,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0060.fits",0.000000e+00,3.522131e-03,5.918316e-03,0.000000e+00,0.000000e+00,785,4.8453e-04,7.0344e-04,1.2889e+00,2.0627e+00,6.3763e-01,4.6747e+01,7.3705e+01,1.599145e-02,6.015008e-04,7.1329e-04,9.5581e-01,785,5.5787e-04,3.377962e+02,1.258805e+03,6.089456e+00,5.618043e-02,1.2059e-01,6.9759e-02,2.2724e-05
59,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0061.fits",0.000000e+00,3.557229e-03,6.060529e-03,0.000000e+00,0.000000e+00,797,4.8244e-04,7.0014e-04,1.2920e+00,2.0179e+00,6.5994e-01,4.7802e+01,7.4109e+01,1.586938e-02,5.968804e-04,7.0765e-04,9.5565e-01,796,5.5639e-04,3.391285e+02,1.251925e+03,6.051257e+00,5.353947e-02,1.5138e-01,7.7024e-02,2.4075e-05
60,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0062.fits",0.000000e+00,3.143872e-03,8.011813e-03,0.000000e+00,0.000000e+00,659,4.7375e-04,6.8658e-04,1.2856e+00,2.6173e+00,5.7280e-01,4.9241e+01,7.4652e+01,1.548790e-02,5.852155e-04,6.9285e-04,9.5394e-01,658,5.4558e-04,3.817648e+02,1.700987e+03,4.567723e+00,3.805237e-02,2.3588e-01,8.3503e-02,2.1182e-05
61,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0063.fits",0.000000e+00,3.957506e-03,8.374787e-03,0.000000e+00,0.000000e+00,772,4.7111e-04,6.8307e-04,1.2853e+00,2.3310e+00,6.5461e-01,5.0270e+01,7.5035e+01,1.541161e-02,5.818525e-04,6.8959e-04,9.5336e-01,771,5.4586e-04,3.884805e+02,1.607689e+03,5.592493e+00,4.903587e-02,2.0745e-01,7.0728e-02,2.2903e-05
62,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0064.fits",0.000000e+00,4.654975e-03,9.522554e-03,0.000000e+00,0.000000e+00,812,4.6838e-04,6.7875e-04,1.2842e+00,2.2332e+00,6.2261e-01,5.1295e+01,7.5412e+01,1.532005e-02,5.795697e-04,6.8620e-04,9.5337e-01,812,5.4256e-04,4.122104e+02,1.933431e+03,6.133234e+00,5.602422e-02,2.0278e-01,8.2887e-02,2.2807e-05
63,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0065.fits",0.000000e+00,3.684857e-03,8.718919e-03,0.000000e+00,0.000000e+00,729,4.6676e-04,6.7577e-04,1.2795e+00,2.4660e+00,6.5502e-01,5.2321e+01,7.5785e+01,1.522850e-02,5.764265e-04,6.8287e-04,9.5341e-01,730,5.3781e-04,3.925177e+02,1.706981e+03,5.056309e+00,4.201464e-02,1.8026e-01,6.8288e-02,2.0331e-05
64,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0066.fits",0.000000e+00,4.399316e-03,9.166255e-03,0.000000e+00,0.000000e+00,801,4.6289e-04,6.6996e-04,1.2758e+00,2.2873e+00,5.8036e-01,5.3349e+01,7.6155e+01,1.509116e-02,5.717914e-04,6.7745e-04,9.5268e-01,800,5.3543e-04,3.992675e+02,1.668946e+03,5.838701e+00,5.092721e-02,2.0334e-01,7.9443e-02,2.3233e-05
65,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0067.fits",0.000000e+00,3.358468e-03,9.168556e-03,0.000000e+00,0.000000e+00,683,4.5734e-04,6.6189e-04,1.2761e+00,2.6390e+00,6.4371e-01,5.4368e+01,7.6517e+01,1.492332e-02,5.658276e-04,6.7036e-04,9.5252e-01,682,5.2999e-04,3.951420e+02,1.801653e+03,4.403312e+00,3.332700e-02,2.0500e-01,6.3273e-02,2.0829e-05
66,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0068.fits",0.000000e+00,3.427637e-03,9.512302e-03,0.000000e+00,0.000000e+00,703,4.5390e-04,6.5689e-04,1.2749e+00,2.6357e+00,6.4369e-01,5.5413e+01,7.6883e+01,1.478599e-02,5.611700e-04,6.6512e-04,9.5232e-01,700,5.2310e-04,3.993342e+02,1.807606e+03,4.378883e+00,3.191410e-02,1.6782e-01,5.1627e-02,1.9332e-05
67,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0069.fits",0.000000e+00,5.396485e-03,1.013820e-02,0.000000e+00,0.000000e+00,849,4.4956e-04,6.5070e-04,1.2792e+00,2.1889e+00,6.0435e-01,5.6445e+01,7.7240e+01,1.466391e-02,5.567458e-04,6.5992e-04,9.5109e-01,845,5.2437e-04,4.090369e+02,1.699191e+03,6.614022e+00,6.294718e-02,2.1793e-01,7.8681e-02,2.2885e-05
68,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0070.fits",0.000000e+00,4.924714e-03,1.008776e-02,0.000000e+00,0.000000e+00,841,4.4795e-04,6.4824e-04,1.2817e+00,2.2680e+00,6.4486e-01,5.7493e+01,7.7598e+01,1.461813e-02,5.548605e-04,6.5773e-04,9.5089e-01,841,5.1867e-04,4.066677e+02,1.703224e+03,6.029311e+00,5.201782e-02,1.8968e-01,6.7091e-02,2.1791e-05
69,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0071.fits",0.000000e+00,4.528731e-03,1.072829e-02,0.000000e+00,0.000000e+00,767,4.4358e-04,6.4187e-04,1.2804e+00,2.4596e+00,6.5424e-01,5.8532e+01,7.7948e+01,1.445029e-02,5.494756e-04,6.5121e-04,9.5029e-01,766,5.1364e-04,4.152185e+02,1.847668e+03,5.323897e+00,4.445548e-02,1.7065e-01,7.2628e-02,2.1039e-05
70,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0072.fits",0.000000e+00,5.832702e-03,1.095463e-02,0.000000e+00,0.000000e+00,893,4.4000e-04,6.3705e-04,1.2816e+00,2.1646e+00,5.9631e-01,5.9575e+01,7.8294e+01,1.437399e-02,5.462039e-04,6.4753e-04,9.4991e-01,893,5.0714e-04,4.172085e+02,1.717471e+03,6.730911e+00,6.203686e-02,1.5293e-01,7.6110e-02,2.0283e-05
71,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0073.fits",0.000000e+00,5.933590e-03,1.138148e-02,0.000000e+00,0.000000e+00,907,4.3759e-04,6.3399e-04,1.2783e+00,2.1572e+00,5.7894e-01,6.0614e+01,7.8634e+01,1.428244e-02,5.432000e-04,6.4375e-04,9.4940e-01,907,5.0801e-04,4.227712e+02,1.729114e+03,6.680856e+00,5.908526e-02,1.7328e-01,7.8930e-02,2.2171e-05
72,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0074.fits",0.000000e+00,5.293640e-03,1.142594e-02,0.000000e+00,0.000000e+00,847,4.3427e-04,6.2876e-04,1.2853e+00,2.3182e+00,6.1285e-01,6.1684e+01,7.8979e+01,1.417563e-02,5.391223e-04,6.3878e-04,9.4912e-01,850,5.0807e-04,4.203310e+02,1.826441e+03,5.903575e+00,4.950086e-02,1.6556e-01,8.0928e-02,2.1894e-05
73,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0075.fits",0.000000e+00,5.349584e-03,1.139117e-02,0.000000e+00,0.000000e+00,861,4.3148e-04,6.2542e-04,1.2800e+00,2.2801e+00,5.4746e-01,6.2745e+01,7.9315e+01,1.411459e-02,5.367511e-04,6.3608e-04,9.4919e-01,860,5.0450e-04,4.179145e+02,1.786938e+03,5.936682e+00,4.899434e-02,2.0189e-01,8.7542e-02,2.3241e-05
74,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0076.fits",0.000000e+00,4.457852e-03,1.179281e-02,0.000000e+00,0.000000e+00,766,4.3039e-04,6.2327e-04,1.2836e+00,2.6049e+00,6.3744e-01,6.3801e+01,7.9643e+01,1.405356e-02,5.343840e-04,6.3322e-04,9.4903e-01,755,5.0148e-04,4.233033e+02,1.941788e+03,4.849877e+00,3.688410e-02,1.9581e-01,8.4098e-02,1.9919e-05
75,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0077.fits",0.000000e+00,4.897219e-03,1.175447e-02,0.000000e+00,0.000000e+00,795,4.2968e-04,6.2229e-04,1.2801e+00,2.4930e+00,5.5429e-01,6.4850e+01,7.9963e+01,1.400778e-02,5.333330e-04,6.3177e-04,9.4848e-01,795,4.9827e-04,4.216497e+02,1.899440e+03,5.327731e+00,4.334751e-02,1.9515e-01,8.0061e-02,1.9692e-05
76,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0078.fits",0.000000e+00,4.527051e-03,1.293043e-02,0.000000e+00,0.000000e+00,763,4.2790e-04,6.1979e-04,1.2863e+00,2.6258e+00,6.0651e-01,6.5897e+01,8.0275e+01,1.397725e-02,5.326182e-04,6.2979e-04,9.4839e-01,763,4.9873e-04,4.408558e+02,2.347893e+03,4.676301e+00,3.399770e-02,1.7005e-01,6.3634e-02,2.0407e-05
77,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0079.fits",0.000000e+00,5.745812e-03,1.374922e-02,0.000000e+00,0.000000e+00,855,4.2812e-04,6.2001e-04,1.2857e+00,2.3517e+00,5.5633e-01,6.6949e+01,8.0581e+01,1.397726e-02,5.325450e-04,6.2987e-04,9.4829e-01,853,4.9702e-04,4.546575e+02,2.335414e+03,5.758747e+00,4.639265e-02,1.4958e-01,9.5061e-02,2.0697e-05
78,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0080.fits",0.000000e+00,5.486427e-03,1.369278e-02,0.000000e+00,0.000000e+00,838,4.2752e-04,6.1904e-04,1.2880e+00,2.4068e+00,6.0748e-01,6.8002e+01,8.0880e+01,1.394675e-02,5.318418e-04,6.2873e-04,9.4841e-01,838,4.9775e-04,4.528971e+02,2.366645e+03,5.502370e+00,4.312871e-02,1.7953e-01,6.9596e-02,2.1219e-05
79,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0081.fits",0.000000e+00,6.248925e-03,1.437405e-02,0.000000e+00,0.000000e+00,888,4.2553e-04,6.1690e-04,1.2811e+00,2.3156e+00,5.8004e-01,6.9055e+01,8.1170e+01,1.390097e-02,5.300097e-04,6.2670e-04,9.4791e-01,887,4.9317e-04,4.625287e+02,2.358424e+03,6.088249e+00,5.047306e-02,1.7253e-01,9.1321e-02,2.0936e-05
80,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0082.fits",0.000000e+00,6.742490e-03,1.365401e-02,0.000000e+00,0.000000e+00,922,4.2655e-04,6.1802e-04,1.2855e+00,2.1564e+00,5.3232e-01,7.0113e+01,8.1450e+01,1.393147e-02,5.307615e-04,6.2779e-04,9.4799e-01,922,4.9702e-04,4.515785e+02,2.204615e+03,6.756303e+00,5.999453e-02,1.6849e-01,9.0180e-02,2.2517e-05
81,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0083.fits",0.000000e+00,6.560528e-03,1.350352e-02,0.000000e+00,0.000000e+00,890,4.2622e-04,6.1759e-04,1.2840e+00,2.1902e+00,6.0681e-01,7.1168e+01,8.1719e+01,1.391621e-02,5.306049e-04,6.2761e-04,9.4822e-01,889,4.9774e-04,4.489584e+02,2.203075e+03,6.605377e+00,5.953201e-02,1.7647e-01,8.1028e-02,2.1665e-05
82,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0084.fits",0.000000e+00,6.241409e-03,1.417456e-02,0.000000e+00,0.000000e+00,907,4.2532e-04,6.1604e-04,1.2885e+00,2.2836e+00,6.5974e-01,7.2237e+01,8.1978e+01,1.388570e-02,5.293058e-04,6.2587e-04,9.4798e-01,906,4.9581e-04,4.587052e+02,2.308049e+03,6.120621e+00,4.978156e-02,1.5553e-01,6.4687e-02,2.2388e-05
83,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0085.fits",0.000000e+00,6.966426e-03,1.454112e-02,0.000000e+00,0.000000e+00,924,4.2452e-04,6.1533e-04,1.2826e+00,2.2320e+00,6.0723e-01,7.3717e+01,8.2309e+01,1.387045e-02,5.286988e-04,6.2520e-04,9.4751e-01,922,4.9830e-04,4.640957e+02,2.289702e+03,6.732275e+00,6.041847e-02,2.0462e-01,6.3379e-02,2.3257e-05
84,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_G_30.00_0086.fits",0.000000e+00,5.749571e-03,1.419542e-02,0.000000e+00,0.000000e+00,843,4.2565e-04,6.1642e-04,1.2820e+00,2.4202e+00,6.1160e-01,7.4781e+01,8.2524e+01,1.388570e-02,5.297257e-04,6.2609e-04,9.4758e-01,843,5.0039e-04,4.592037e+02,2.392831e+03,5.638447e+00,4.522088e-02,2.6520e-01,6.2419e-02,2.2904e-05
