----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-12T22:46:29--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.75 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-12T22:47:25.1911|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Sequencer Powerups version 3.28.2.1 by Marc Blank
2025-07-12T22:47:25.7563|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Session Metadata version 2.6.2.0 by Tom Palmer @tcpalmer
2025-07-12T22:47:26.1411|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Smart Filters version 1.0.0.3 by Benoit SAINTOT
2025-07-12T22:47:27.6300|ERROR|DllLoader.cs|LoadDllFromAbsolutePath|53|DllLoader failed to load library C:\Program Files\N.I.N.A. - Nighttime Imaging 'N' Astronomy\External\x64\SQLite\SQLite.Interop.dll due to error code 126
2025-07-12T22:47:28.2705|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Target Scheduler version 5.7.1.0 by Tom Palmer @tcpalmer
2025-07-12T22:47:28.5772|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Three Point Polar Alignment version 2.2.3.8 by Stefan Berg @isbeorn
2025-07-12T22:47:29.9884|WARNING|When.cs|GetRunningItem|143|Can't get running items: SequencerNavigation not initialized yet!
2025-07-12T22:47:30.2234|INFO|TouchNStarsServer.cs|Start|46|Starting Touch-N-Stars Webserver
2025-07-12T22:47:30.2262|INFO|TouchNStarsServer.cs|APITask|73|Touch-N-Stars Webserver starting
2025-07-12T22:47:30.2335|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Touch 'N' Stars version 1.0.9.0 by Johannes Maier, Christian Palm, Christian Wöhrle
2025-07-12T22:47:30.2453|INFO|PluginFetcher.cs|RequestAll|43|Fetching plugin manifests from https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2025-07-12T22:47:30.3182|INFO|FilterWheelChooserVM.cs|GetEquipment|167|Found 1 Networked Filter Wheel Filter Wheels
2025-07-12T22:47:31.0583|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 SVBony Cameras
2025-07-12T22:47:31.1782|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 PlayerOne Cameras
2025-07-12T22:47:31.2655|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 ASTPAN Cameras
2025-07-12T22:47:31.2671|INFO|CameraChooserVM.cs|GetEquipment|278|Found 4 ASCOM Cameras
2025-07-12T22:47:31.7780|INFO|PluginFetcher.cs|RequestAll|57|Found 54 valid plugins at https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2025-07-12T22:47:32.3482|INFO|FilterWheelChooserVM.cs|GetEquipment|193|Found 0 Alpaca Filter Wheels
2025-07-12T22:47:32.3498|INFO|FocuserChooserVM.cs|GetEquipment|67|Found 0 Alpaca Focusers
2025-07-12T22:47:32.3535|INFO|WeatherDataChooserVM.cs|GetEquipment|69|Found 0 Alpaca Observing Conditions
2025-07-12T22:47:32.3575|INFO|SafetyMonitorChooserVM.cs|GetEquipment|71|Found 0 Alpaca Safety Monitors
2025-07-12T22:47:32.3580|INFO|SwitchChooserVM.cs|GetEquipment|71|Found 0 Alpaca Switch Hubs
2025-07-12T22:47:32.3594|INFO|FlatDeviceChooserVM.cs|GetEquipment|67|Found 0 Alpaca Cover Calibrators
