DATE,MESSAGE,ROLE,EVENT_ID,TYPE
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,36,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,36,end
45859.98,"Starting Category: Guider, Item: Dither",Dither,37,start
45859.98,"Finishing Category: Guider, Item: Dither",Dither,37,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,39,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,39,end
45859.98,"Starting Category: Guider, Item: StartGuiding",StartGuiding,41,start
45859.98,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,41,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,42,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,42,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,44,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,44,end
45859.98,"Starting Category: Guider, Item: StartGuiding",StartGuiding,46,start
45859.98,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,46,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,47,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,47,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,49,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,49,end
45859.98,"Starting Category: Guider, Item: StartGuiding",StartGuiding,51,start
45859.98,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,51,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,52,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,52,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,54,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,54,end
45859.98,"Starting Category: Guider, Item: StartGuiding",StartGuiding,56,start
45859.98,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,56,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,57,start
